sponsorship,cost
Paquetes,"$27,900 "
Cintillos/Banners Principales,"$1,500,000 "
Diamante Fijo,"$500,000 "
Diamante Cintillo,"$430,000 "
Diamante Logo,"$390,000 "
Platino Cintillo,"$250,000 "
Platino Fijo,"$235,000 "
Platino,"$180,000 "
Oro Cintillo,"$135,000 "
Oro Fijo,"$120,000 "
Oro,"$85,000 "
Luxury,"$62,000 "
Plata Cintillo,"$88,000 "
Plata Fijo,"$65,000 "
Plata,"$42,000 "
Bronce Top,"$55,000 "
Bronce Fijo,"$35,000 "
Bronce Cintillo Standar,"$32,000 "
Bronce,"$26,500 "
Productos Hot Destacado Home,"$35,000 "
Productos Hot Destacado Categoria TOP,"$12,000 "
Productos Hot Destacado Categoria Standar,"$9,500 "
Categorias TOP,"$19,000 "
Categorias Estandar,"$15,000 "
Mega Ofertas TOP Platino,"$280,000 "
Mega Ofertas TOP Oro,"$150,000 "
Mega Ofertas TOP Plata,"$120,000 "
Mega Ofertas TOP Bronce,"$100,000 "
Mega Ofertas,"$90,000 "
Cintillo Flash,"$25,000 "
